POS,0,048F,-0.08,-2.71,0.48,57,x02
POS,0,048F,-0.01,-2.75,0.99,66,x02
POS,0,048F,-0.07,-2.74,0.73,59,x02
POS,0,048F,-0.13,-2.76,0.58,62,x02
POS,0,048F,-0.18,-2.75,0.41,59,x02
POS,0,048F,-0.22,-2.71,0.28,55,x02
POS,0,048F,-0.26,-2.74,0.23,62,x02
POS,0,048F,-0.24,-2.70,0.12,56,x02
POS,0,048F,-0.22,-2.71,0.05,60,x02
POS,0,048F,0.00,-2.76,-0.15,67,x02
POS,0,048F,0.05,-2.56,-0.28,37,x02
POS,0,048F,0.08,-2.64,-0.33,66,x02
POS,0,048F,0.07,-2.69,-0.34,65,x02
POS,0,048F,0.15,-2.75,-0.40,67,x02
POS,0,048F,0.25,-2.79,-0.47,67,x02
POS,0,048F,0.26,-2.80,-0.51,64,x02
POS,0,048F,0.30,-2.83,-0.54,68,x02
POS,0,048F,0.55,-2.55,-0.64,67,x02
POS,0,048F,0.67,-2.40,-0.72,61,x02
POS,0,048F,0.45,-2.46,-0.56,56,x02
POS,0,048F,0.29,-2.53,-0.47,61,x02
POS,0,048F,0.05,-2.51,-0.47,52,x02
POS,0,048F,-0.06,-2.51,-0.31,51,x02
POS,0,048F,-0.16,-2.48,-0.20,44,x02
POS,0,048F,-0.22,-2.47,-0.12,48,x02
POS,0,048F,-0.28,-2.49,-0.06,51,x02
POS,0,048F,-0.32,-2.49,-0.03,50,x02
POS,0,048F,-0.37,-2.54,0.01,58,x02
POS,0,048F,-0.40,-2.58,0.05,57,x02
POS,0,048F,-0.43,-2.61,0.08,57,x02
POS,0,048F,-0.43,-2.63,0.10,57,x02
POS,0,048F,-0.45,-2.62,0.10,54,x02
POS,0,048F,-0.45,-2.63,0.10,55,x02
POS,0,048F,-0.45,-2.63,0.10,55,x02
POS,0,048F,-0.46,-2.64,0.11,57,x02
POS,0,048F,-0.46,-2.64,0.13,55,x02
POS,0,048F,-0.48,-2.64,0.12,56,x02
POS,0,048F,-0.49,-2.67,0.11,59,x02
POS,0,048F,-0.50,-2.67,0.09,56,x02
POS,0,048F,-0.50,-2.67,0.07,57,x02
POS,0,048F,-0.50,-2.68,0.06,58,x02
POS,0,048F,-0.50,-2.68,0.03,56,x02
POS,0,048F,-0.51,-2.65,0.01,53,x02
POS,0,048F,-0.47,-2.65,0.03,57,x02
POS,0,048F,-0.41,-2.64,0.06,54,x02
POS,0,048F,-0.36,-2.63,0.06,55,x02
